Name,DataType,Description,DataTypeID,Retentive,Force2,DisplayFormat,ArrayDimension1,ArrayDimension2,Publish,MarkAsUsed,MaxLength,InitialValue,DataSource,DataSourceClsid,IOAddress,IOAddressOffset,IOAddressAlias,Input_VTL,Output_VTL,extra_properties
FO_SDT_TANK_TABLE,WORD,Fuel Oil SDT Day Tank Volume,,YES,,Decimal,250,0,False,NO,16,"0, 7, 14, 20, 27, 34, 41, 48, 55, 62, 69, 76, 83, 90, 97, 104, 111, 119, 126, 133, 140, 147, 155, 162, 169, 177, 184, 191, 199, 206, 213, 221, 228, 236, 243, 251, 258, 266, 273, 281, 289, 296, 304, 312, 319, 327, 335, 343, 350, 358, 366, 374, 382, 390, 398, 406, 413, 421, 429, 437, 445, 454, 462, 470, 478, 486, 494, 502, 510, 519, 527, 535, 543, 552, 560, 568, 577, 585, 593, 602, 610, 619, 627, 636, 644, 653, 661, 670, 678, 687, 696, 704, 713, 721, 730, 739, 748, 756, 765, 774, 783, 792, 800, 809, 818, 827, 836, 845, 854, 863, 872, 881, 890, 899, 908, 917, 926, 935, 945, 954, 963, 972, 981, 991, 1000, 1009, 1018, 1028, 1037, 1047, 1056, 1065, 1075, 1084, 1094, 1103, 1113, 1122, 1132, 1141, 1151, 1160, 1170, 1180, 1189, 1199, 1208, 1218, 1228, 1238, 1247, 1257, 1267, 1277, 1287, 1296, 1306, 1316, 1326, 1336, 1346, 1356, 1366, 1376, 1386, 1396, 1406, 1416, 1426, 1436, 1446, 1456, 1467, 1477, 1487, 1497, 1507, 1518, 1528, 1538, 1549, 1559, 1569, 1580, 1590, 1600, 1611, 1621, 1632, 1642, 1653, 1663, 1674, 1684, 1695, 1705, 1716, 1726, 1737, 1748, 1758, 1769, 1780, 1790, 1801, 1812, 1822, 1833, 1844, 1855, 1866, 1876, 1887, 1898, 1909, 1920, 1931, 1942, 1953, 1964, 1975, 1986, 1997, 2008, 2019, 2030, 2041, 2052, 2063, 2074, 2085, 2096, 2108, 2119, 2130, 2141, 2153, 2164, 2175, 2186, 2198, 2198, 2198, 2198, 2198, 2198, 2198, 2198, 2198, 2198",GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[0],WORD,Fuel Oil SDT Day Tank Volume @ 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[1],WORD,Fuel Oil SDT Day Tank Volume @ 1,,YES,,Decimal,0,0,False,NO,16,7,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[2],WORD,Fuel Oil SDT Day Tank Volume @ 2,,YES,,Decimal,0,0,False,NO,16,14,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[3],WORD,Fuel Oil SDT Day Tank Volume @ 3,,YES,,Decimal,0,0,False,NO,16,20,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[4],WORD,Fuel Oil SDT Day Tank Volume @ 4,,YES,,Decimal,0,0,False,NO,16,27,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[5],WORD,Fuel Oil SDT Day Tank Volume @ 5,,YES,,Decimal,0,0,False,NO,16,34,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[6],WORD,Fuel Oil SDT Day Tank Volume @ 6,,YES,,Decimal,0,0,False,NO,16,41,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[7],WORD,Fuel Oil SDT Day Tank Volume @ 7,,YES,,Decimal,0,0,False,NO,16,48,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[8],WORD,Fuel Oil SDT Day Tank Volume @ 8,,YES,,Decimal,0,0,False,NO,16,55,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[9],WORD,Fuel Oil SDT Day Tank Volume @ 9,,YES,,Decimal,0,0,False,NO,16,62,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[10],WORD,Fuel Oil SDT Day Tank Volume @ 10,,YES,,Decimal,0,0,False,NO,16,69,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[11],WORD,Fuel Oil SDT Day Tank Volume @ 11,,YES,,Decimal,0,0,False,NO,16,76,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[12],WORD,Fuel Oil SDT Day Tank Volume @ 12,,YES,,Decimal,0,0,False,NO,16,83,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
R28001[13],WORD,Fuel Oil SDT Day Tank Volume @ 13,,YES,,Decimal,0,0,False,NO,16,90,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
