Name,DataType,Description,DataTypeID,Retentive,Force2,DisplayFormat,ArrayDimension1,ArrayDimension2,Publish,MarkAsUsed,MaxLength,InitialValue,DataSource,DataSourceClsid,IOAddress,IOAddressOffset,IOAddressAlias,Input_VTL,Output_VTL,extra_properties
FO_2P_TANK_WORK_REG_0,INT,Fuel Oil #2-P Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_2P_TANK_WORK_REG_1,INT,Fuel Oil #2-P Register # 1,,YES,,Decimal,0,0,False,NO,16,291,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_2P_TANK_WORK_REG_2,INT,Fuel Oil #2-P Register # 2,,YES,,Decimal,0,0,False,NO,16,583,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_2P_TANK_WORK_REG_3,INT,Fuel Oil #2-P Register # 3,,YES,,Decimal,0,0,False,NO,16,291,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_2S_TANK_WORK_REG_0,INT,Fuel Oil #2-S Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_2S_TANK_WORK_REG_1,INT,Fuel Oil #2-S Register # 1,,YES,,Decimal,0,0,False,NO,16,129,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_2S_TANK_WORK_REG_2,INT,Fuel Oil #2-S Register # 2,,YES,,Decimal,0,0,False,NO,16,257,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_2S_TANK_WORK_REG_3,INT,Fuel Oil #2-S Register # 3,,YES,,Decimal,0,0,False,NO,16,127,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_4C_TANK_WORK_REG_0,INT,Fuel Oil #4-C Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_4C_TANK_WORK_REG_1,INT,Fuel Oil #4-C Register # 1,,YES,,Decimal,0,0,False,NO,16,185,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_4C_TANK_WORK_REG_2,INT,Fuel Oil #4-C Register # 2,,YES,,Decimal,0,0,False,NO,16,370,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_4C_TANK_WORK_REG_3,INT,Fuel Oil #4-C Register # 3,,YES,,Decimal,0,0,False,NO,16,185,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
ME_2P_TANK_WORK_REG_0,INT,Methanol #2-P Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
ME_2P_TANK_WORK_REG_1,INT,Methanol #2-P Register # 1,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
ME_2P_TANK_WORK_REG_2,INT,Methanol #2-P Register # 2,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
ME_2P_TANK_WORK_REG_3,INT,Methanol #2-P Register # 3,,YES,,Decimal,0,0,False,NO,16,21,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
ME_2S_TANK_WORK_REG_0,INT,Methanol #2-S Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
ME_2S_TANK_WORK_REG_1,INT,Methanol #2-S Register # 1,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
ME_2S_TANK_WORK_REG_2,INT,Methanol #2-S Register # 2,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
ME_2S_TANK_WORK_REG_3,INT,Methanol #2-S Register # 3,,YES,,Decimal,0,0,False,NO,16,34,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5C_TANK_WORK_REG_0,INT,Fuel Oil #5-C Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5C_TANK_WORK_REG_1,INT,Fuel Oil #5-C Register # 1,,YES,,Decimal,0,0,False,NO,16,89,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5C_TANK_WORK_REG_2,INT,Fuel Oil #5-C Register # 2,,YES,,Decimal,0,0,False,NO,16,179,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5C_TANK_WORK_REG_3,INT,Fuel Oil #5-C Register # 3,,YES,,Decimal,0,0,False,NO,16,89,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5P_TANK_WORK_REG_0,INT,Fuel Oil #5-P Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5P_TANK_WORK_REG_1,INT,Fuel Oil #5-P Register # 1,,YES,,Decimal,0,0,False,NO,16,481,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5P_TANK_WORK_REG_2,INT,Fuel Oil #5-P Register # 2,,YES,,Decimal,0,0,False,NO,16,962,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5P_TANK_WORK_REG_3,INT,Fuel Oil #5-P Register # 3,,YES,,Decimal,0,0,False,NO,16,482,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5S_TANK_WORK_REG_0,INT,Fuel Oil #5-S Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5S_TANK_WORK_REG_1,INT,Fuel Oil #5-S Register # 1,,YES,,Decimal,0,0,False,NO,16,186,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5S_TANK_WORK_REG_2,INT,Fuel Oil #5-S Register # 2,,YES,,Decimal,0,0,False,NO,16,560,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_5S_TANK_WORK_REG_3,INT,Fuel Oil #5-S Register # 3,,YES,,Decimal,0,0,False,NO,16,186,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_6C_TANK_WORK_REG_0,INT,Fuel Oil #6-C Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_6C_TANK_WORK_REG_1,INT,Fuel Oil #6-C Register # 1,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_6C_TANK_WORK_REG_2,INT,Fuel Oil #6-C Register # 2,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_6C_TANK_WORK_REG_3,INT,Fuel Oil #6-C Register # 3,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_OVFL_WORK_REG_0,INT,Fuel Oil OverFlow Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_OVFL_WORK_REG_1,INT,Fuel Oil OverFlow Register # 1,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_OVFL_WORK_REG_2,INT,Fuel Oil OverFlow Register # 2,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_OVFL_WORK_REG_3,INT,Fuel Oil OverFlow Register # 3,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
BS_AR1_WORK_REG_0,INT,Ballast Anti Roll #1 Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
BS_AR1_WORK_REG_1,INT,Ballast Anti Roll #1 Register # 1,,YES,,Decimal,0,0,False,NO,16,603,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
BS_AR1_WORK_REG_2,INT,Ballast Anti Roll #1 Register # 2,,YES,,Decimal,0,0,False,NO,16,1206,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
BS_AR1_WORK_REG_3,INT,Ballast Anti Roll #1 Register # 3,,YES,,Decimal,0,0,False,NO,16,603,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
BS_AR2_WORK_REG_0,INT,Ballast Anti Roll #2 Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
BS_AR2_WORK_REG_1,INT,Ballast Anti Roll #2 Register # 1,,YES,,Decimal,0,0,False,NO,16,588,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
BS_AR2_WORK_REG_2,INT,Ballast Anti Roll #2 Register # 2,,YES,,Decimal,0,0,False,NO,16,1176,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
BS_AR2_WORK_REG_3,INT,Ballast Anti Roll #2 Register # 3,,YES,,Decimal,0,0,False,NO,16,589,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_3C_TANK_WORK_REG_0,INT,Fuel Oil #3-C Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_3C_TANK_WORK_REG_1,INT,Fuel Oil #3-C Register # 1,,YES,,Decimal,0,0,False,NO,16,149,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_3C_TANK_WORK_REG_2,INT,Fuel Oil #3-C Register # 2,,YES,,Decimal,0,0,False,NO,16,448,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
FO_3C_TANK_WORK_REG_3,INT,Fuel Oil #3-C Register # 3,,YES,,Decimal,0,0,False,NO,16,149,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
ME_1P_TANK_WORK_REG_0,INT,Methanol #1-P Register # 0,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},,,,,,
