Name,DataType,Description,DataTypeID,Retentive,Force2,DisplayFormat,ArrayDimension1,ArrayDimension2,Publish,MarkAsUsed,MaxLength,InitialValue,DataSource,DataSourceClsid,IOAddress,IOAddressOffset,IOAddressAlias,Input_VTL,Output_VTL,extra_properties
FO_2P_TANK_WORK_REG,WORD,Fuel Oil #2-P Tank,,YES,,Decimal,4,0,False,NO,16,"0, 0, 0, 0",GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10240,,,,,
FO_2P_TANK_WORK_REG[0],WORD,Fuel Oil #2-P Tank Input,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10240,,,,,
FO_2P_TANK_WORK_REG[1],INT,Fuel Oil #2-P Tank Total,,YES,,Decimal,0,0,False,NO,16,291,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10241,,,,,
FO_2P_TANK_WORK_REG[2],INT,Fuel Oil #2-P Tank Increment,,YES,,Decimal,0,0,False,NO,16,583,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10242,,,,,
FO_2P_TANK_WORK_REG[3],INT,Fuel Oil #2-P Tank Output,,YES,,Decimal,0,0,False,NO,16,291,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10243,,,,,
FO_2S_TANK_WORK_REG,WORD,Fuel Oil #2-S Tank,,YES,,Decimal,4,0,False,NO,16,"0, 0, 0, 0",GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10490,,,,,
FO_2S_TANK_WORK_REG[0],WORD,Fuel Oil #2-S Tank Input,,YES,,Decimal,0,0,False,NO,16,0,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10490,,,,,
FO_2S_TANK_WORK_REG[1],INT,Fuel Oil #2-S Tank Total,,YES,,Decimal,0,0,False,NO,16,129,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10491,,,,,
FO_2S_TANK_WORK_REG[2],INT,Fuel Oil #2-S Tank Increment,,YES,,Decimal,0,0,False,NO,16,257,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10492,,,,,
FO_2S_TANK_WORK_REG[3],INT,Fuel Oil #2-S Tank Output,,YES,,Decimal,0,0,False,NO,16,127,GE IP Controller,{98D70480-4881-11D4-9F26-0050DA19DE4A},%R10493,,,,,
